                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.55879,                0.72324,                 1.0551,                0.82276,                0.85199,                0.85091,                0.73861,                0.55006,                0.72398,                 1.0131,             0.00025216,             0.00025216,             0.00025216
                     98,                0.54991,                0.70092,                 1.0429,                0.76931,                0.84816,                0.85398,                0.74831,                0.52077,                0.76267,                0.99844,              0.0002498,              0.0002498,              0.0002498
                     99,                0.55353,                0.70543,                 1.0412,                0.82623,                0.84061,                0.86147,                0.76455,                0.50414,                0.74858,                0.98687,             0.00024745,             0.00024745,             0.00024745
                    100,                0.55218,                0.69284,                 1.0477,                0.82687,                0.81612,                0.85822,                0.76106,                0.52643,                 0.7636,                 1.0038,             0.00024509,             0.00024509,             0.00024509
                    101,                0.55514,                0.69727,                 1.0503,                0.84147,                0.84487,                0.87075,                0.77112,                0.51024,                 0.6961,                0.98628,             0.00024274,             0.00024274,             0.00024274
                    102,                0.53996,                0.67926,                 1.0377,                0.83949,                0.81207,                  0.859,                0.76582,                0.50651,                0.73008,                0.98597,             0.00024038,             0.00024038,             0.00024038
                    103,                 0.5388,                0.68261,                 1.0346,                0.76762,                0.85413,                0.85135,                0.74362,                0.55461,                0.76087,                 1.0047,             0.00023802,             0.00023802,             0.00023802
                    104,                0.55398,                0.70329,                 1.0396,                 0.8321,                0.84067,                0.86322,                0.76451,                0.50351,                0.72496,                0.97856,             0.00023567,             0.00023567,             0.00023567
                    105,                0.54169,                0.70926,                 1.0445,                0.78671,                 0.8605,                0.86028,                0.75597,                0.52001,                0.73336,                0.98984,             0.00023331,             0.00023331,             0.00023331
                    106,                0.54633,                0.67728,                  1.045,                0.83811,                0.83621,                0.86075,                0.76145,                0.50547,                0.71988,                0.98828,             0.00023096,             0.00023096,             0.00023096
                    107,                0.55117,                0.70485,                 1.0619,                0.81218,                0.83893,                0.86147,                0.75871,                0.50645,                0.70671,                0.98362,              0.0002286,              0.0002286,              0.0002286
                    108,                0.52892,                 0.6874,                 1.0419,                0.80798,                0.84675,                0.85833,                 0.7637,                0.50558,                0.74166,                0.98521,             0.00022624,             0.00022624,             0.00022624
